threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.6625,147005,159470,4995,0.47966392038502326,0.9671381578947369,0.6412781503898796
0.665,146879,155101,5121,0.48638651566328894,0.9663092105263158,0.6470725582624786
0.6675,146728,150809,5272,0.4931420293946635,0.9653157894736842,0.6527960990975159
0.67,146554,146736,5446,0.4996897268914726,0.964171052631579,0.658240697073817
0.6725,146388,142772,5612,0.50625259371974,0.963078947368421,0.6636503762807145
0.675,146248,138933,5752,0.5128251882138011,0.9621578947368421,0.6690501188295008
0.6775,146044,135144,5956,0.5193820504431199,0.9608157894736842,0.6742753723556516
0.68,145884,131376,6116,0.5261631681454231,0.9597631578947369,0.67969994874901
0.6825,145717,127781,6283,0.5327900021206736,0.9586644736842105,0.684924488481732
0.685,145553,124253,6447,0.5394728063868113,0.9575855263157895,0.6901419135811251
0.6875,145379,120929,6621,0.5459054928879342,0.9564407894736842,0.6950811363875422
0.69,145206,117500,6794,0.552731951306784,0.9553026315789473,0.7002840566570052
0.6925,145041,114382,6959,0.5590907513982954,0.954217105263158,0.7050699644891025
0.695,144822,111317,7178,0.565403940829003,0.9527763157894736,0.7096699898808984
0.6975,144628,108357,7372,0.571686068343973,0.9515,0.7142387989678629
0.7,144418,105424,7582,0.5780373195859784,0.9501184210526316,0.7187800180170315
0.7025,144211,102734,7789,0.583980238514649,0.9487565789473684,0.7229618117785659
0.705,144001,100123,7999,0.5898682636692828,0.947375,0.7270501156203611
0.7075,143797,97602,8203,0.5956818379529327,0.9460328947368422,0.7310491384065543
0.71,143585,95198,8415,0.6013200269700942,0.9446381578947368,0.7348579646504582
0.7125,143348,92862,8652,0.6068667710935185,0.943078947368421,0.7385075088225446
0.715,143150,90547,8850,0.6125453043898723,0.9417763157894737,0.7422925249613038
0.7175,142925,88424,9075,0.6177895733286074,0.9402960526315789,0.7456651771623246
0.72,142714,86338,9286,0.6230637584478633,0.9389078947368421,0.7490526227391537
0.7225,142496,84352,9504,0.6281562984906193,0.9374736842105263,0.7522594813751161
0.725,142269,82257,9731,0.6336415381737527,0.9359802631578947,0.7556928339610013
0.7275,142049,80227,9951,0.6390658460652522,0.9345328947368421,0.759060158813282
0.73,141834,78406,10166,0.643997457319288,0.9331184210526315,0.7620567375886524
0.7325,141609,76581,10391,0.649016911865805,0.9316381578947368,0.765061184796996
0.735,141355,74778,10645,0.6540185904049821,0.9299671052631578,0.7679561462840876
0.7375,141144,73086,10856,0.658843299257807,0.9285789473684211,0.7707943095868717
0.74,140912,71451,11088,0.6635430842472558,0.9270526315789474,0.7734704127477269
0.7425,140659,69760,11341,0.6684710030938271,0.9253881578947368,0.7762231008859911
0.745,140405,68114,11595,0.673343915902148,0.9237171052631579,0.778904856609499
0.7475,140153,66569,11847,0.6779781542361238,0.9220592105263158,0.7814017540044937
0.75,139867,65025,12133,0.6826376822911583,0.9201776315789474,0.7838057451553972
0.7525,139622,63557,12378,0.6871871600903636,0.9185657894736842,0.7862063917067169
0.755,139348,62182,12652,0.6914504044062919,0.9167631578947368,0.7883234803269878
0.7575,139058,60664,12942,0.6962577983396921,0.9148552631578948,0.7907267671627024
0.76,138755,59218,13245,0.700878402610457,0.9128618421052631,0.7929468844739451
0.7625,138489,57850,13511,0.7053565516784744,0.9111118421052632,0.795139217830906
0.765,138197,56443,13803,0.7100133579942458,0.9091907894736843,0.797351719363028
0.7675,137941,54995,14059,0.71495729153709,0.9075065789473684,0.7998063408864252
0.77,137659,53531,14341,0.7200115068779748,0.9056513157894737,0.8022319997668929
0.7725,137348,52156,14652,0.7247762580209389,0.9036052631578947,0.804371251874063
0.775,137060,50729,14940,0.7298617064897305,0.9017105263157895,0.8067359449540745
0.7775,136761,49275,15239,0.7351319099529123,0.8997434210526316,0.8091505046799748
0.78,136430,47844,15570,0.7403648914117021,0.8975657894736843,0.811421638306857
0.7825,136115,46507,15885,0.7453373635158962,0.8954934210526316,0.813544835665318
0.785,135774,45159,16226,0.750410372900466,0.89325,0.8156235639002443
0.7875,135432,43848,16568,0.755421686746988,0.891,0.8176285921275055
0.79,135119,42569,16881,0.7604283913376255,0.8889407894736842,0.8196779985926088
0.7925,134816,41386,17184,0.7651218487871875,0.8869473684210526,0.8215428303301016
0.795,134488,40249,17512,0.7696595454883625,0.8847894736842106,0.8232186743466458
0.7975,134144,39104,17856,0.7742888806797192,0.8825263157894737,0.8248720975993704
0.8,133766,37837,18234,0.7795085167508726,0.8800394736842105,0.8267290476293483
0.8025,133397,36673,18603,0.7843652613629681,0.8776118421052631,0.8283727140062719
0.805,133072,35505,18928,0.7893840796787225,0.8754736842105263,0.8302030401432416
0.8075,132684,34349,19316,0.7943580011135524,0.8729210526315789,0.831788561057947
0.81,132315,33309,19685,0.7988878423416896,0.8704934210526316,0.8331549253205047
0.8125,131892,32179,20108,0.8038714946578006,0.8677105263157895,0.8345719790806496
0.815,131475,31099,20525,0.808708649599567,0.8649671052631579,0.8358923496538175
0.8175,131050,30055,20950,0.8134446479004376,0.8621710526315789,0.8370993756088213
0.82,130637,29018,21363,0.8182455920578748,0.8594539473684211,0.8383436813142738
0.8225,130177,27928,21823,0.8233578950697321,0.8564276315789474,0.8395672433530578
0.825,129757,26891,22243,0.8283348654307747,0.8536644736842105,0.8408089474093465
0.8275,129338,25851,22662,0.8334224719535535,0.8509078947368421,0.8420744232378113
0.83,128866,24868,23134,0.8382400770161448,0.8478026315789474,0.8429942368202425
0.8325,128361,23936,23639,0.8428334110323906,0.8444802631578947,0.8436560334147231
0.835,127842,22939,24158,0.8478654472380472,0.8410657894736842,0.8444519306033074
0.8375,127334,22020,24666,0.8525650468015588,0.8377236842105263,0.8450792091692826
0.84,126830,21025,25170,0.8577998714957221,0.8344078947368421,0.8459422053992761
0.8425,126316,20075,25684,0.8628672527682713,0.8310263157894737,0.8466475195297446
0.845,125769,19139,26231,0.8679230960333453,0.8274276315789474,0.8471917226885096
0.8475,125265,18305,26735,0.8725012189176011,0.8241118421052631,0.8476164698717732
0.85,124741,17480,27259,0.877092693765337,0.8206644736842105,0.8479408335910761
0.8525,124132,16631,27868,0.881851054609521,0.8166578947368421,0.8480033337546069
0.855,123514,15815,28486,0.8864916851481027,0.812592105263158,0.8479348090989911
0.8575,122923,14999,29077,0.8912501268833108,0.8087039473684211,0.8479729030566843
