threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.585,124429,270,27571,0.9978347861650855,0.8186118421052632,0.8993816385314006
0.5875,124380,266,27620,0.9978659563884922,0.8182894736842106,0.8991996992546432
0.59,124307,263,27693,0.9978887372561612,0.8178092105263158,0.8989188993744802
0.5925,124233,254,27767,0.9979596263063613,0.8173223684210527,0.8986534629114569
0.595,124160,245,27840,0.9980306257787066,0.8168421052631579,0.8983918525352291
0.5975,124081,239,27919,0.9980775418275418,0.8163223684210527,0.8980964099594672
0.6,124005,233,27995,0.9981245673626427,0.8158223684210526,0.8978127556672145
0.6025,123945,230,28055,0.9981477753170929,0.8154276315789474,0.897583054222866
0.605,123860,228,28140,0.9981625942879248,0.8148684210526316,0.8972501521254093
0.6075,123780,218,28220,0.9982419071275344,0.8143421052631579,0.89696302147117
0.61,123705,210,28295,0.998305289916475,0.8138486842105264,0.8966891977601799
0.6125,123633,204,28367,0.9983526732721238,0.813375,0.8964207122322242
0.615,123548,197,28452,0.9984080164855146,0.8128157894736842,0.8961032838310758
0.6175,123463,180,28537,0.9985441957894907,0.8122565789473685,0.8958181415816837
0.62,123392,161,28608,0.9986969154937557,0.8117894736842105,0.8955954026992992
0.6225,123297,150,28703,0.9987849036428589,0.8111644736842105,0.895250265931377
0.625,123205,137,28795,0.9988892672406804,0.8105592105263157,0.8949234043480472
0.6275,123121,119,28879,0.9990344044141513,0.8100065789473684,0.8946446737392819
0.63,123024,109,28976,0.9991147783291238,0.8093684210526316,0.8942874900502666
0.6325,122943,101,29057,0.999179155424076,0.8088355263157895,0.8939878710315441
0.635,122854,91,29146,0.9992598316320306,0.80825,0.8936623688374038
0.6375,122765,86,29235,0.9992999649982499,0.8076644736842106,0.8933203808609028
0.64,122662,65,29338,0.999470369193413,0.8069868421052632,0.8929737521248367
0.6425,122578,57,29422,0.9995352060994006,0.8064342105263158,0.892661168459956
0.645,122482,46,29518,0.9996245756072082,0.8058026315789474,0.8923097097563819
0.6475,122372,41,29628,0.9996650682525549,0.805078947368421,0.8918819443685246
0.65,122286,36,29714,0.9997056948055133,0.8045131578947369,0.8915508052580545
0.6525,122159,35,29841,0.9997135702243972,0.8036776315789473,0.891040650050694
0.655,122052,30,29948,0.9997542635277928,0.8029736842105263,0.8906239738472428
0.6575,121955,26,30045,0.9997868520507293,0.8023355263157895,0.8902442140148404
0.66,121836,24,30164,0.9998030526834072,0.8015526315789474,0.889768494851384
0.6625,121730,17,30270,0.9998603661691869,0.8008552631578948,0.8893613445992102
0.665,121632,14,30368,0.9998849119576476,0.8002105263157895,0.8889733451247231
0.6675,121532,12,30468,0.9999012703218587,0.7995526315789474,0.8885736846723014
0.67,121415,12,30585,0.999901175191679,0.798782894736842,0.888098102967154
0.6725,121301,10,30699,0.9999175672445203,0.7980328947368421,0.8876408194328073
0.675,121188,10,30812,0.9999174903876301,0.7972894736842105,0.8871807260668088
0.6775,121036,9,30964,0.999925647486472,0.7962894736842105,0.8865644857074841
0.68,120910,8,31090,0.9999338394614532,0.7954605263157895,0.8860536864552723
0.6825,120790,8,31210,0.9999337737379758,0.794671052631579,0.8855636771530584
0.685,120672,7,31328,0.9999419948789765,0.7938947368421052,0.8850846599848173
0.6875,120561,7,31439,0.9999419414770089,0.7931644736842105,0.8846306242845822
0.69,120423,5,31577,0.999958481416282,0.7922565789473685,0.884072121808331
0.6925,120304,5,31696,0.9999584403494336,0.7914736842105263,0.8835844573627754
